Identification,Phenophase,Phenophase detail,Month,Day,Year,Country,State,County,Habitat,,Elevation,Latitude,Longitude,Map details,Location info,URL,,,,
CM010378,leaves,,9,16,1964,usa,pennsylvania,allegheny,park,,,40.597411,-79.998226,plus/minus 3165m,Allegheny Grove of North Park,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12249677,,,,
CM080487,fl,2,6,26,1938,usa,pennsylvania,berks,moist woods,,620ft,40.164148,-75.822662,WGS84,.75mi NW of Elverson,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12251705,,,,
CM308022,fl,4,7,2,1984,usa,pennsylvania,blair,open field adjacent to mesic woodlot,,,40.33456,-78.56025,"3 (gmap, NAD83, plus/minus 1318m)",ca 1.5 mi SSW of Blue Knob and junction with PA 164 on road to State Game Lands 26,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12327952,,,,
CM394171,fl,,7,4,1994,usa,pennsylvania,westmoreland,old roadside meadow,,460m,40.1525,79.0915,plus minus 14m,"Ligonier Township, ENE of Waterford on PA 271, Green Mountain Cemetery",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12341445,,,,
CM487595,fl,1,6,18,1998,usa,new york,chautauqua,roadside,,,42.2658,79.1835,nad83?,4.8km ESE of Dunkirk on NY 60,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12347526,,,,
CM513285,fl,5,6,28,2006,usa,pennsylvania,washington,"rich wooded stream valley of Hemlock, Sugar Maple, Red Oak",,950ft,40.1859,80.3024,NAD83,"1.8 mi, 28 deg from Virginville road intersection, northern trib of Scott Run",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12352221,,,,
collector: A.A. Heller,fl,5,7,8,1901,usa,pennsylvania,lancaster,,,,,,,End of W. Walnut St.,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19607262,,,,
collector: J.H. Shuette,fruiting,7,10,16,1898,usa,wisconson,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=19607233,,,,
collector: Richard M. Hull,fl,1,7,15,2021,usa,indiana,tippecanoe,upland forest edge along road,,202m,40.408445,-87.070978,"WGS84, plus minus 3m",Ross Camp and Ross Hills; located on the E side of the main access road approximately 125 meters S of the park entrance,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=28211515,,,,
DOV0002093,fl,3,6,30,1982,usa,dc,,,,,,,,US National Arboretum Herb Garden,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15380651,,,,
DUKE10105462,fl,3,6,30,1976,usa,kentucky,kenton,,,,,,,1/10 meter NW of junction of Dixie hwy and W. Maple Ave.; Ft Mitchell,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=16639647,,,,
HUNT-010890,fl,1,8,8,1948,usa,indiana,huntington,"black soil, medium moisture",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=10387214,,,,
MDKY00007736,fl,2,7,1,1999,usa,kentucky,fleming,"field pasture, Silurian upper Crab-Orchard shale",,720ft,38.1928,83.32488,,"Plummer's Landing Quad; Along Stockton Creek Road, 0.3 mi from jct with hwy 1013, by Stockton Creek drainage",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=10398279,,,,
MSC0243049,fl,1,7,10,1961,usa,michigan,lapeer,edge of pond (Trout Lake),,,,,,"A Scout Ranch, 10mi S of Lapeer. T6N, R10E, section 2",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159512,,,,
MSC0243088,fl,2,7,15,1961,usa,michigan,clinton,abandoned field,,,,,,T5N R1W sec.26,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11159492,,,,
NCU00081048,fruiting,2,9,14,2004,usa,north carolina,moore,farmland,,,,,,"George P. Road, east of Cavness Town Road, north of Robbins",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17021593,,,,
NCU00357361,fl,3,7,8,1956,usa,west virginia,tyler,roadside,,,,,,along Eight Mile Ridge,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=20866476,,,,
NLU0041732,fl,5,7,8,1980,usa,new hampshire,grafton,border of thicket along CT river,,350ft,,,,Upper Valley Plaza in West Lebanon,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=8814502,,,,
PH00055239,fl,2,6,22,1934,usa,new jersey,salem,"sand & gravel, roadside along creek",,,39.691074,-75.318015,"WGS84, plus minus 1347m, Point placed along Oldmans Creek ca. 2 miles NNW of Eldridge (not Eldridges as on label) Hill as seen on USGS topo map","along Oldman's Creek, 2 miles NNW of Eldridges Hill",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267438,,,,
PH00388901,fl,5,6,25,2011,usa,pennsylvania,montgomery,roadside opening,,,40.20465,-75.187484,"WGS84, plus minus 381m","along Rt. 152, 0.8 km S of Prospectville",https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17267682,,,,
sec ID: 9727,fl,,6,25,2021,usa,indiana,orange,open road shoulder,,,38.406476,-86.612361,,Along sr 145 at cr 1025S,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=28218438,,,,
SNWR000581,fl,1,8,2,1969,usa,michigan,,Seney National Wildlife Refuge,,,,,,NE edge of c-1 pool,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=10225769,,,,
TENN-V-0177552,fl,2,6,26,1974,usa,tennesee,roane,roadside,,,,,,clinch river breeder reactor site,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=14634813,,,,
UNCC_25281-2,leaves,,6,28,1967,usa,north carolina,cabarrus,floodplain field,,,,,,Egg Rock Woods on Rocky River on Co.Rd.1608,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11251112,,,,
USCS0004718,leaves,,6,26,1989,usa,south carolina,spartanburg,disturbed edge of railroad track,,,,,HAD MAP,RR by Drayton Ave Southeastern portion of Spartanburg,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=10311570,,,,no. 10071
v0017227WIS,fl,2,6,15,1961,usa,wisconsin,dodge,roadside meadow,,,,,HAD MAP,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5196834,,,,
v0017247WIS,fl,2,7,17,1956,usa,wisconson,dunn,,,,,,,Sunny Brook SW of Elk Mound,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5112037,,,,
v0017726WIS,leaves,,9,17,1966,usa,wisconsin,dodge,near pond with rich moist soil,,,,,,1mi NE of Horicon on Hwy 28; S of Hwy 28,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5010254,,,,
v0394260WIS,leaves,,7,,1891,usa,new jersey,middlesex,,,,40.565104,-74.337371,"WGS84, plus minus 3036m",Menlo park,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=21921065,,,,
ALBC000532,fl,3,6,24,1949,usa,michigan,calhoun,in field E. of Hall Lake,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5625324,,,,
ALBC000534,leaves,13,8,31,1991,usa,michigan,calhoun,beach-maple forest,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5625326,,,,
GVSC001248,fl,1,7,20,1971,usa,michigan,kent,field,,,43.19893,-85.618978,"WGS84, plus minus 313 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5528971,,,,
GVSC001249,leaves,4,7,9,1967,usa,michigan,kent,"open grassy field, dry sandy soil",,,42.851381,-85.639593,plus minus 559 m,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5528972,,,,
GVSC001259,fruiting,2,9,15,2008,usa,michigan,kent,overgrown grassy area,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5528982,,,,
DSC100515,fl,1,6,4,1956,usa,south carolina,south carolina,"Upland woods stream banks, & rock barrens",,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5850704,,,,
EMC008606,fl,2,8,21,1972,usa,michigan,washtenaw,"In flower bed, full sun, clay loam soil",,,42.25133,-83.631138," WGS84, plus minus 110 m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=8500689,,,,
UNCC_00727,fl,5,6,21,1967,usa,north carolina,mechlenberg,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=10259328,,,,
HLSD001734,leaves,,7,18,2004,usa,michigan,,,,,,,,,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5621342,,,,
MISSA002797,fl,1,7,24,1972,usa,mississippi,hattiesburg,,,,31.335041,-89.287018,"WGS84, plus minus 3497m",,https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=5779982,,,,
