"id","PlantID","Latitude","Longitude","Year","StationName","Distance"
"USC00366028","PH00055303",40.34398,-76.446629,1954,"MT GRETNA 2 SE",12.3588729585281
"USC00366297","PH00055306",40.347438,-77.207022,1952,"NEWPORT RIVER",15.9663546324686
"USC00366198","PH00055307",40.701473,-77.332096,1939,"NEW BLOOMFIELD",33.6804244502264
"USC00362942","PH00055308",40.847162,-79.642719,1947,"FORD CITY 4 S DAM",18.2949554183939
"USC00362721","PH00055310_2",40.200802,-78.556128,1939,"EVERETT",27.1842810102534
"USC00362721","PH00055313",39.828821,-78.495855,1947,"EVERETT",23.1653794097569
"USC00188855","PH00055314",39.72529,-78.438903,1947,"TONOLOWAY",17.42587690677
"USC00366233","PH00055316",41.060573,-80.040521,1946,"NEW CASTLE 1 N",27.3409453799236
"USC00360355","PH00055317",40.861174,-79.914494,1951,"BAKERSTOWN 3 WNW",24.1861130008645
"USC00369738","PH00055318",40.64681,-76.966308,1939,"WILLIAMSTOWN",30.8193162243876
"USC00365104","PH00055319",40.824871,-77.205261,1939,"LOCK HAVEN",38.6166048206463
"USC00369407","PH00055322",41.766504,-77.557484,1949,"WELLSBORO",20.5329937190984
"USC00364873","PH00055323",41.783963,-76.998298,1959,"LAWRENCEVILLE 2 S",23.1908806094631
"USC00367931","PH00055324",41.037422,-76.861329,1939,"SELINSGROVE 2 S",28.2793333193876
"USC00361675","PH00055328",39.855465,-76.607188,1947,"COLUMBIA",21.7835458421311
"USC00361485","PH00055329",41.018357,-79.38465,1948,"CLARION 3 SW",19.8052870032295
"USC00363028","PH00055330",41.273687,-79.538305,1941,"FRANKLIN",28.1734089290966
"USC00362363","PH00055331",41.119207,-79.458061,1952,"EAST BRADY",20.1329753705622
"USW00014746","PH00055333",41.163695,-78.668638,1952,"CURWENSVILLE WB AP",14.5240974457813
"USC00363028","PH00055335",41.56941,-79.979323,1952,"FRANKLIN",22.5182801751443
"USC00367734","PH00055337",42.024104,-80.370517,1919,"SAEGERSTOWN",40.1258635380436
"USW00014741","PH00055338",40.964576,-78.878766,1947,"BROOKVILLE FAA AP",27.7345238400766
"USC00280729","PH00057284",40.653279,-75.120643,1948,"BELVIDERE",20.2631298435825
"USC00360134","PH00058482",40.658905,-78.49252,1950,"ALTOONA HORSESHOE CURV",17.6865784130205
"USC00363526","PH00058483",41.320371,-80.33863,1955,"GREENVILLE 2 NE",10.9644310862237
"USC00365652","PH00058484",41.334177,-80.082282,1954,"MERCER 4 NW",17.7175994348362
"USC00365606","PH00058485",41.475843,-80.021284,1947,"MEADVILLE 1 S",21.2827514145209
"USC00360868","PH00058487",41.989304,-78.57356,1950,"BRADFORD 4SW RSCH 5",15.4445718612774
"USC00300766","PH00058488",41.998397,-78.27084,1950,"BOLIVAR",14.7895433513985
"USC00361804","PH00059985",41.562662,-78.303702,1950,"COUDERSPORT 1 NNE",34.2072619303252
"USW00054786","PH00060318",40.204599,-75.187466,2009,"DOYLESTOWN AP",15.0156045264338
"USW00054786","PH00060319",40.204599,-75.187466,2009,"DOYLESTOWN AP",15.0156045264338
